,dim_partner_partner_id,dim_partner_partner_name,franchise_name,mall,business_type_name,cuisine,Limite de Prep Time,city,%slowdelivery,%vendorlate,%riderlate,avg_estimated_prep_time,avg_assumed_actual_prep_time,diff_estimacion,avg_at_vendor_time_cleaned,Orders,prep_time_mas_atvc,diff_limite_%,%_orders,partner_id,cambio_final_cateogry,CODE,DAY-RANGE,HOUR-RANGE,PREPARATION-BUFFER,PREPARATION-TIME,STRATEGY
14,106538,doggis mall arauco maipú,doggis,1,Restaurant,completos,20,Santiago,0.6666666667,0.00%,0.3333333333,30,33.225,3.225,2.733333333,3,32.73333333,1.5,0.0006975122065,106538,categoria_2,106538,MONDAY-SUNDAY,0-23,1,15,OPS_PERMANENT
21,135646,parrilladas la quincha,no franchise,0,Restaurant,comida casera,19,Talca,0,0.00%,0,27,27,0,2.591666667,2,29.59166667,1.421052632,0.0004650081376,135646,categoria_3,135646,MONDAY-SUNDAY,0-23,1,14,OPS_PERMANENT
32,221086,doggis jumbo puente alto 535,doggis,0,Restaurant,completos,20,Santiago,1,0.00%,0.25,34,34.45,0.45,4.938888889,4,38.93888889,1.7,0.0009300162753,221086,categoria_1,221086,MONDAY-SUNDAY,0-23,1,17,OPS_PERMANENT
34,225185,tri color churrascos y completos,no franchise,0,Restaurant,completos,17,Santiago,0.125,0.00%,0,29.75,26.13888889,-3.611111111,3.66875,8,33.41875,1.75,0.001860032551,225185,categoria_1,225185,MONDAY-SUNDAY,0-23,1,15,OPS_PERMANENT
38,247568,mei xin comida china,no franchise,0,Restaurant,comida china,15,Santiago,0,0.00%,0,18.5,17.5125,-0.9875,0.5208333333,4,19.02083333,1.233333333,0.0009300162753,247568,categoria_1,247568,MONDAY-SUNDAY,0-23,1,9,OPS_PERMANENT
39,261452,valenti's pastas,no franchise,0,Restaurant,pastas,24,Chillan,1,0.00%,0,40,36.25,-3.75,0,1,40,1.666666667,0.0002325040688,261452,categoria_1,261452,MONDAY-SUNDAY,0-23,1,20,OPS_PERMANENT
51,376201,pollos crispy chirlis quilicura,no franchise,0,Restaurant,pollo asado,17,Santiago,0,0.00%,0,17,17,0,2.658333333,2,19.65833333,1,0.0004650081376,376201,categoria_2,376201,MONDAY-SUNDAY,0-23,1,8,OPS_PERMANENT
72,497367,carl's jr. - mall plaza trebol concepción,carl's jr.,0,Restaurant,hamburguesas,21,Concepcion,0.6666666667,0.00%,0.5,23.66666667,24.2375,0.5708333333,3.283333333,6,26.95,1.126984127,0.001395024413,497367,categoria_2,497367,MONDAY-SUNDAY,0-23,1,12,OPS_PERMANENT
93,528506,texas burger - iquique,no franchise,0,Restaurant,hamburguesas,19,Iquique,1,0.00%,0,32,32,0,5.85,1,37.85,1.684210526,0.0002325040688,528506,categoria_2,528506,MONDAY-SUNDAY,0-23,1,16,OPS_PERMANENT
56,417271,hornitos de placilla - comida chilena,no franchise,0,Restaurant,comida casera,19,Vina del mar,0.21875,4.84%,0,29.1875,29.51553672,0.3280367232,1.823015873,64,31.01051587,1.536184211,0.0148802604,417271,categoria_2,417271,MONDAY-SUNDAY,0-23,1,15,OPS_PERMANENT
76,503392,little caesars pizza turbus,little caesar's,0,Restaurant,pizzas,14,Santiago,0.3033707865,5.48%,0.130952381,25.69662921,25.06415525,-0.6324739623,1.913675214,89,27.61030443,1.835473515,0.02069286213,503392,categoria_2,503392,MONDAY-SUNDAY,0-23,1,13,OPS_PERMANENT
82,519648,mcdonald´s - macul las torres,mcdonald's,0,Restaurant,hamburguesas,16,Santiago,0.2008733624,6.34%,0.07657657658,18.66812227,17.75034014,-0.9177821347,2.012721417,229,20.68084369,1.166757642,0.05324343176,519648,categoria_2,519648,MONDAY-SUNDAY,0-23,1,9,OPS_PERMANENT
0,7696,china town reñaca,no franchise,0,Restaurant,comida china,15,Vina del mar,0.1176470588,6.67%,0,20.35294118,20.06904762,-0.2838935574,3.521875,17,23.87481618,1.356862745,0.00395256917,7696,categoria_3,7696,MONDAY-SUNDAY,0-23,1,10,OPS_PERMANENT
23,142164,chifa restaurant la nueva perla,no franchise,0,Restaurant,comida china,15,Arica,0.03448275862,7.14%,0.03448275862,20.06896552,19.25208333,-0.8168821839,2.118452381,29,22.1874179,1.337931034,0.006742617996,142164,categoria_3,142164,MONDAY-SUNDAY,0-23,1,10,OPS_PERMANENT
